Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/meetings/,855,0,5,19.926644327889647,3.3678000327199697,1029.6994000091217,376.71461988304094,16.222647361420478,0.0,5,8,21,25,49,77,110,150,1000,1000,1000
GET,/meetings/find/people/{email},401,5,6,20.653668830102713,2.4568000226281583,329.0584000060335,1941.643391521197,7.608516481789019,0.09486928281532443,6,17,23,32,47,70,130,150,330,330,330
GET,/meetings/{id},428,6,4,18.031292055188416,3.034800000023097,1073.279200005345,319.1121495327103,8.120810608991771,0.11384313937838932,4,6,19,22,43,58,140,150,1100,1100,1100
,Aggregated,1684,11,5,19.618049347290665,2.4568000226281583,1073.279200005345,734.7209026128266,31.951974452201267,0.20871242219371375,5,8,21,25,46,72,130,150,1000,1100,1100
